comparison,n,r,p
M4_A vs OP_A,60,0.2855,0.027
HH vs OP_A,60,0.213,0.1022
A_HEXACO vs OP_A,60,0.1013,0.4412
M4_A vs HH,60,0.5836,9.868e-07
M4_A vs A_HEXACO,60,0.6202,1.261e-07
GT_A vs HH,60,0.5192,2.129e-05
GT_A vs A_HEXACO,60,0.451,0.0002989
HH vs A_HEXACO,60,0.6587,1.062e-08
