trait,winner,winner_MAE,runner_up,runner_up_MAE,MAE_diff_winner_minus_runner,diff_lo,diff_hi,certified_winner,p_bootstrap,bh_significant
O,M4_consensus,0.194,M3_regressor,0.234,-0.04,-0.054,-0.0263,True,0.0001,True
C,M4_consensus,0.2353,M5_probe,0.2572,-0.0207,-0.0444,0.0029,False,0.0828,False
E,M5_probe,0.2357,M4_consensus,0.2389,-0.0029,-0.0229,0.0176,False,0.765,False
A,M4_consensus,0.2136,M3_regressor,0.2566,-0.043,-0.0605,-0.0253,True,0.0001,True
N,M3_regressor,0.2653,M4_consensus,0.27,-0.0047,-0.0213,0.0121,False,0.5528,False
