comparison,n,r,p
M4_A vs OP_A,60,0.2855,0.027
HH vs OP_A,60,0.2654,0.04039
A_HEXACO vs OP_A,60,0.0479,0.7164
M4_A vs HH,60,0.6907,1.016e-09
M4_A vs A_HEXACO,60,0.683,1.837e-09
GT_A vs HH,60,0.6309,6.533e-08
GT_A vs A_HEXACO,60,0.5156,2.485e-05
HH vs A_HEXACO,60,0.5812,1.122e-06
