comparison,n,r,p
M4_A vs OP_A,60,0.2855,0.027
HH vs OP_A,60,0.2363,0.06905
A_HEXACO vs OP_A,60,0.0071,0.9571
M4_A vs HH,60,0.6671,5.873e-09
M4_A vs A_HEXACO,60,0.6539,1.469e-08
GT_A vs HH,60,0.5892,7.318e-07
GT_A vs A_HEXACO,60,0.4174,0.0009057
HH vs A_HEXACO,60,0.6148,1.731e-07
